Facility Name,geometry,SA2_CODE21,SA2_NAME21
Leigh Park,POINT (331368.438676247 5815726.741150415),207011148,Balwyn North
Lynden Park,POINT (331597.91835649114 5809806.6897363085),207011149,Camberwell
Macleay Park,POINT (330454.1313306508 5814587.299314041),207011148,Balwyn North
Nettleton Park,POINT (329295.56993114925 5808587.311467888),207011150,Glen Iris - East
Rathmines Road Reserve,POINT (328714.3076478059 5812394.949459713),207011152,Hawthorn East
Saint James Park,POINT (325842.9704606867 5812283.4454682),207011519,Hawthorn - North
Swinburne Reserve,POINT (328491.4397449028 5811423.37865925),207011152,Hawthorn East
Victoria Road Reserve,POINT (328144.489002686 5812195.2230053935),207011152,Hawthorn East
Watson Park,POINT (330633.09693172784 5806917.076404273),207011146,Ashburton (Vic.)
Myrtle Park,POINT (330184.2130045698 5814678.201063389),207011148,Balwyn North
Hill 'n' Dale BMX Park,POINT (330712.32830215676 5808315.356630905),207011150,Glen Iris - East
Junction Skate and BMX Park,POINT (328532.1813039991 5811171.451703679),207011152,Hawthorn East
Ashburton Park,POINT (331730.41224668326 5807637.357538028),207011146,Ashburton (Vic.)
Cooper Reserve,POINT (332468.3956218441 5810237.670965802),207011149,Camberwell
Deepdene Park,POINT (329919.82601319265 5813193.619880476),207011147,Balwyn
Dorothy Laver Reserve,POINT (329653.2620504169 5807307.65541078),207011150,Glen Iris - East
Eric Raven Reserve,POINT (329603.0073907511 5807791.073420204),207011150,Glen Iris - East
Fairview Park,POINT (326480.42348450806 5811213.31093437),207011520,Hawthorn - South
Hartwell Sports Ground,POINT (331710.59045497864 5808612.963787699),207011150,Glen Iris - East
Highfield Park,POINT (331517.1612955339 5810632.400151628),207011149,Camberwell
Hislop Park,POINT (331136.9891045169 5814628.874481861),207011148,Balwyn North
Howard Dawson Reserve,POINT (328824.56727738504 5808958.837058272),207011150,Glen Iris - East
Markham Reserve,POINT (331313.0996545524 5806629.795791913),207011146,Ashburton (Vic.)
Reservoir Reserve,POINT (329073.1637727289 5813335.36754899),207011521,Kew - South
Warner Reserve,POINT (331488.835975005 5807109.647382002),207011146,Ashburton (Vic.)
Willison Park,POINT (330322.25453639147 5810274.330375973),207011149,Camberwell
Willsmere Reserve,POINT (327814.4117143833 5815722.311765922),207011154,Kew East
Glenferrie Hill Bowls Club,POINT (327078.11075011484 5810950.03852319),207011520,Hawthorn - South
HA Smith Velodrome,POINT (327481.40212697606 5810302.865998616),207011520,Hawthorn - South
Body World Camberwell,POINT (329036.68942574994 5811819.842492046),207011152,Hawthorn East
Complete Mind & Body,POINT (332232.868798887 5815582.4449195815),207011148,Balwyn North
Curves  Ashburton,POINT (331238.7179837694 5807610.944384169),207011146,Ashburton (Vic.)
Curves Camberwell,POINT (329109.5495502404 5811089.672607977),207011149,Camberwell
Grace Park Tennis,POINT (326551.6267819006 5812295.541303411),207011519,Hawthorn - North
Inspire Fitness for Wellbeing,POINT (332290.51173327706 5815680.420230126),207011148,Balwyn North
Tai-Chi with Tibor,POINT (332326.7170941342 5810126.8782042805),207011149,Camberwell
Freeway Golf Course,POINT (330359.0710449639 5816763.487296538),207011148,Balwyn North
Green Acres Golf Club,POINT (328038.49218312395 5816074.355692163),207011154,Kew East
Kew Golf Club,POINT (328758.8385218384 5816073.277017398),207011154,Kew East
